timestamp,zone_id,zone_type,vehicle_density,avg_speed_kmph,traffic_pattern_type,road_surface_type,honking_probability,public_transport_frequency,pedestrian_density,food_delivery_orders,public_gathering_indicator,college_schedule_flag,restaurant_active_orders,industrial_power_usage_kw,truck_arrival_frequency,machine_runtime_index,humidity,wind_speed,temperature,building_density,vegetation_density,allowed_dba_limit,predicted_noise_dba
2025-01-01 00:00:00,7,Commercial,297,50.161904248285026,Night Highway,Concrete,0.40532536064695335,44,465,27,0,0,10,4809.888273670629,4,0.6848036956458562,60.74082403541033,0.6179424514263077,24.341876338418565,0.25896785493779506,0.8772802313513668,45,94.857010162433
2025-01-01 01:00:00,15,Industrial,45,76.24293560191357,Delivery Burst,Old Asphalt,0.2691615709916292,25,363,34,0,0,54,3614.50503723889,30,0.8377387595177639,82.42498554751873,4.028458176456051,26.46923904958417,0.6097555814076847,0.10389135441431396,60,74.97170590237398
2025-01-01 02:00:00,11,Commercial,115,29.249678760371896,Morning Rush,Concrete,0.19863161386186912,37,111,124,0,0,1,3222.8157731591104,5,0.7077026295496838,28.369654478659882,5.351430827564416,15.942391916803036,0.8581952248315949,0.0323685340055202,55,50.74088900400654
2025-01-01 03:00:00,8,Commercial,18,41.480520438690334,Morning Rush,Concrete,0.7833872199958384,43,408,137,0,1,64,3641.7641873828093,26,0.4058877526047254,89.0415628534792,1.451127508583323,26.406006982543847,0.9574394222366072,0.08837824596090393,55,47.19835826017638
2025-01-01 04:00:00,7,Mixed,235,27.761017416508405,Normal,Fresh Asphalt,0.9092526944369924,25,6,64,0,0,171,2390.485094091108,24,0.031135737930569563,90.11838458864065,7.0943961179760295,39.915193837333504,0.2853459179853881,0.8456431203863204,55,66.55742595608244
2025-01-01 05:00:00,19,Residential,88,72.07867196004217,Morning Rush,Old Asphalt,0.3702321856845767,7,229,41,0,0,15,2526.13238900837,28,0.9674016302352297,31.648476511002976,0.5440501743095139,26.98142718772553,0.7049321685592567,0.651229519665661,50,38.9023579610422
2025-01-01 06:00:00,11,Industrial,134,53.73469437899353,Night Highway,Fresh Asphalt,0.7512789243737669,4,155,84,0,0,149,4256.036927223719,27,0.9863360621580867,22.540659830506254,11.06366984515459,11.33207396818091,0.6546778006385976,0.9577446331172503,50,58.95984997563123
2025-01-01 07:00:00,11,Industrial,235,61.000130961905995,Night Highway,Old Asphalt,0.8969952893644111,14,196,136,1,0,105,3404.6426832175143,15,0.5493645514442687,94.23810364666767,4.230019211595746,33.89306933051979,0.9122499927585135,0.3362965412697576,60,74.97409424034726
2025-01-01 08:00:00,4,Mixed,149,26.446116236349557,Evening Rush,Concrete,0.8461242105302316,15,322,110,0,0,145,4486.216625958209,11,0.07067096469510559,56.16886942268183,5.740062110183972,21.894262861701627,0.8009952241478973,0.21267812800969943,45,93.05973654850905
2025-01-01 09:00:00,8,Mixed,32,23.719150617071783,Evening Rush,Old Asphalt,0.1828133885392259,0,363,14,0,0,174,4454.133767871343,19,0.5409725059144669,62.90565530265735,18.209432523425683,14.610284455046855,0.9722094953322507,0.5619752393137492,55,60.53920686893631
